time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,1.08302,1.08415,1.0802,1.08307,465,240,0
2014-01-01 22:00:00,1.08372,1.08465,1.08228,1.08307,1245,26,0
2014-01-01 23:00:00,1.08302,1.08474,1.08151,1.08335,1386,20,0
2014-01-02 00:00:00,1.08333,1.08475,1.08269,1.08362,2131,20,0
2014-01-02 01:00:00,1.08368,1.08465,1.08293,1.08317,3359,20,0
2014-01-02 02:00:00,1.08319,1.08484,1.0829,1.08445,2844,20,0
2014-01-02 03:00:00,1.08441,1.08481,1.08355,1.08389,1747,20,0
2014-01-02 04:00:00,1.08395,1.08511,1.08337,1.0839,2382,20,0
2014-01-02 05:00:00,1.08395,1.08472,1.08376,1.0842,1538,20,0
2014-01-02 06:00:00,1.08415,1.08506,1.08394,1.08483,1157,20,0
2014-01-02 07:00:00,1.08477,1.08639,1.08427,1.0858,1644,2,0
2014-01-02 08:00:00,1.08576,1.08642,1.08442,1.08442,1879,6,0
2014-01-02 09:00:00,1.08447,1.08644,1.08416,1.0862,1569,3,0
2014-01-02 10:00:00,1.08616,1.08673,1.08476,1.08577,1769,5,0
2014-01-02 11:00:00,1.08567,1.08658,1.08535,1.08592,2423,6,0
2014-01-02 12:00:00,1.08592,1.0866,1.08545,1.08582,2322,7,0
2014-01-02 13:00:00,1.08586,1.08631,1.08477,1.08623,2147,8,0
2014-01-02 14:00:00,1.08623,1.08774,1.08573,1.08639,3648,6,0
2014-01-02 15:00:00,1.08638,1.08764,1.08525,1.08709,3683,9,0
2014-01-02 16:00:00,1.08706,1.08862,1.08629,1.0878,2357,1,0
2014-01-02 17:00:00,1.08781,1.08841,1.08707,1.08822,1287,14,0
2014-01-02 18:00:00,1.08822,1.08835,1.08714,1.08764,1211,11,0
2014-01-02 19:00:00,1.08764,1.08938,1.08756,1.0893,1409,11,0
2014-01-02 20:00:00,1.0893,1.08956,1.08799,1.0881,1190,14,0
2014-01-02 21:00:00,1.08805,1.08935,1.0878,1.08804,1272,4,0
2014-01-02 22:00:00,1.08799,1.08833,1.08715,1.0875,685,34,0
2014-01-02 23:00:00,1.0875,1.08809,1.08691,1.08779,854,9,0
2014-01-03 00:00:00,1.08777,1.0882,1.08449,1.08449,1124,6,0
2014-01-03 01:00:00,1.08449,1.08688,1.08443,1.08613,1675,11,0
2014-01-03 02:00:00,1.08613,1.08819,1.0857,1.08749,1895,12,0
2014-01-03 03:00:00,1.08747,1.08853,1.0860400000000001,1.08749,1811,1,0
2014-01-03 04:00:00,1.08749,1.09048,1.0873,1.08904,1681,5,0
2014-01-03 05:00:00,1.08904,1.08938,1.0879,1.08813,1647,6,0
2014-01-03 06:00:00,1.08814,1.08874,1.0877,1.08782,1140,12,0
2014-01-03 07:00:00,1.08782,1.08796,1.08624,1.08672,1969,3,0
2014-01-03 08:00:00,1.08671,1.08838,1.08666,1.08713,2916,6,0
2014-01-03 09:00:00,1.08713,1.08773,1.08574,1.08672,2403,9,0
2014-01-03 10:00:00,1.0867,1.08741,1.0862,1.08696,1991,8,0
2014-01-03 11:00:00,1.08695,1.08719,1.08457,1.0847,2144,7,0
