time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,98.918,98.965,98.842,98.895,506,120,0
2014-01-02 00:00:00,98.884,99.119,98.053,98.228,42593,120,0
2014-01-02 08:00:00,99.044,99.044,98.906,98.956,2723,28,0
2014-01-02 09:00:00,98.954,99.065,98.831,99.061,3065,28,0
2014-01-02 10:00:00,99.062,99.117,98.998,99.028,3144,28,0
2014-01-02 11:00:00,99.028,99.133,98.996,99.013,2878,28,0
2014-01-02 12:00:00,99.015,99.035,98.867,98.921,2982,28,0
2014-01-02 13:00:00,98.921,99.045,98.839,98.972,3409,28,0
2014-01-02 14:00:00,98.97,99.038,98.859,98.872,3671,28,0
2014-01-02 15:00:00,98.873,99.058,98.776,98.964,5170,28,0
2014-01-02 16:00:00,98.966,99.06,98.662,98.687,5474,28,0
2014-01-02 17:00:00,98.688,98.743,98.507,98.555,3559,28,0
2014-01-02 18:00:00,98.556,98.601,98.452,98.517,2326,28,0
2014-01-02 19:00:00,98.516,98.523,98.175,98.245,2537,28,0
2014-01-02 20:00:00,98.228,98.327,98.076,98.159,2095,63,0
2014-01-02 21:00:00,98.16,98.241,98.061,98.107,1365,68,0
2014-01-02 22:00:00,98.108,98.222,98.056,98.167,1346,67,0
2014-01-02 23:00:00,98.168,98.25,98.154,98.227,1084,67,0
2014-01-03 00:00:00,98.225,98.264,98.166,98.226,807,68,0
2014-01-03 01:00:00,98.223,98.24,98.17,98.211,697,68,0
2014-01-03 02:00:00,98.212,98.259,98.165,98.166,839,67,0
2014-01-03 03:00:00,98.165,98.174,97.684,97.827,2597,68,0
2014-01-03 04:00:00,97.825,97.906,97.753,97.823,1456,68,0
2014-01-03 05:00:00,97.822,97.934,97.725,97.883,1417,68,0
2014-01-03 06:00:00,97.89,97.933,97.742,97.877,2662,28,0
2014-01-03 07:00:00,97.876,97.924,97.805,97.859,1918,28,0
2014-01-03 08:00:00,97.862,97.975,97.821,97.874,2532,28,0
2014-01-03 09:00:00,97.871,98.142,97.868,98.094,3412,28,0
2014-01-03 10:00:00,98.095,98.155,97.952,98.03,2623,28,0
2014-01-03 11:00:00,98.035,98.118,98.007,98.109,1982,28,0
2014-01-03 12:00:00,98.108,98.235,98.081,98.206,2748,28,0
2014-01-03 13:00:00,98.205,98.361,98.1,98.352,2676,28,0
2014-01-03 14:00:00,98.354,98.537,98.294,98.359,3333,28,0
2014-01-03 15:00:00,98.358,98.371,98.172,98.317,3888,28,0
2014-01-03 16:00:00,98.317,98.343,98.159,98.336,3271,28,0
2014-01-03 17:00:00,98.335,98.461,98.329,98.406,3116,28,0
2014-01-03 18:00:00,98.405,98.553,98.389,98.469,2115,28,0
2014-01-03 19:00:00,98.467,98.475,98.361,98.367,1657,28,0
2014-01-03 20:00:00,98.357,98.538,98.354,98.537,1314,63,0
2014-01-03 21:00:00,98.539,98.601,98.438,98.449,1808,68,0
2014-01-03 22:00:00,98.456,98.603,98.439,98.517,1232,68,0
2014-01-05 00:00:00,98.526,98.664,98.514,98.642,1725,120,0
2014-01-05 23:00:00,98.522,98.585,98.507,98.562,925,67,0
2014-01-06 00:00:00,98.561,98.66,98.512,98.643,1249,67,0
2014-01-06 01:00:00,98.639,98.662,98.415,98.505,2497,68,0
2014-01-06 02:00:00,98.502,98.562,98.086,98.144,2615,68,0
2014-01-06 03:00:00,98.142,98.251,98.113,98.208,1607,67,0
2014-01-06 04:00:00,98.207,98.308,98.14,98.282,1185,67,0
2014-01-06 05:00:00,98.281,98.312,98.19,98.221,1133,68,0
2014-01-06 06:00:00,98.225,98.252,98.114,98.148,1889,28,0
2014-01-06 07:00:00,98.148,98.272,98.111,98.229,1777,28,0
2014-01-06 08:00:00,98.229,98.314,98.153,98.306,2568,28,0
2014-01-06 09:00:00,98.301,98.455,98.282,98.338,3387,28,0
2014-01-06 10:00:00,98.343,98.371,98.261,98.362,2595,28,0
2014-01-06 11:00:00,98.361,98.416,98.322,98.36,1941,28,0
2014-01-06 12:00:00,98.361,98.377,98.221,98.279,2157,28,0
2014-01-06 13:00:00,98.279,98.347,98.117,98.181,2424,28,0
2014-01-06 14:00:00,98.181,98.221,98.033,98.049,2960,28,0
2014-01-06 15:00:00,98.047,98.263,97.984,98.19,4169,28,0
2014-01-06 16:00:00,98.191,98.226,97.912,97.912,4825,28,0
2014-01-06 17:00:00,97.916,98.0,97.793,97.916,4143,28,0
2014-01-06 18:00:00,97.916,97.916,97.481,97.683,4193,28,0
2014-01-06 19:00:00,97.683,97.885,97.647,97.847,2662,28,0
2014-01-06 20:00:00,97.839,97.953,97.814,97.831,1673,63,0
2014-01-06 21:00:00,97.833,97.855,97.688,97.764,1262,68,0
2014-01-06 22:00:00,97.765,97.811,97.738,97.769,1030,67,0
2014-01-06 23:00:00,97.772,97.824,97.695,97.745,1171,67,0
2014-01-07 00:00:00,97.739,97.791,97.681,97.723,1117,68,0
2014-01-07 01:00:00,97.726,97.923,97.708,97.865,2213,68,0
2014-01-07 02:00:00,97.864,97.866,97.669,97.72,2105,68,0
2014-01-07 03:00:00,97.721,97.779,97.672,97.743,1189,68,0
