time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,8.3455,8.3517,8.3445,8.3505,99,0,0
2014-01-02 00:00:00,8.3506,8.4363,8.3493,8.4305,13122,0,0
2014-01-02 08:00:00,8.3621,8.3818,8.3575,8.3783,4151,40,0
2014-01-02 09:00:00,8.3795,8.3959,8.3642,8.3834,4285,40,0
2014-01-02 10:00:00,8.3839,8.4106,8.3746,8.4076,3491,40,0
2014-01-02 11:00:00,8.4082,8.4238,8.4046,8.4204,2769,40,0
2014-01-02 12:00:00,8.4202,8.4202,8.3946,8.3986,2878,40,0
2014-01-02 13:00:00,8.3985,8.4127,8.3983,8.4069,2818,40,0
2014-01-02 14:00:00,8.4068,8.4075,8.389,8.3946,3282,40,0
2014-01-02 15:00:00,8.3947,8.3991,8.3884,8.3891,2421,40,0
2014-01-02 16:00:00,8.3893,8.3926,8.3706,8.3731,2969,40,0
2014-01-02 17:00:00,8.3732,8.4083,8.3717,8.4039,3230,40,0
2014-01-02 18:00:00,8.4041,8.4261,8.398,8.4208,2477,40,0
2014-01-02 19:00:00,8.4207,8.4248,8.4141,8.4235,2177,40,0
2014-01-02 20:00:00,8.4232,8.4268,8.4106,8.4268,2065,50,0
2014-01-02 21:00:00,8.4267,8.427,8.4083,8.4205,2089,50,0
2014-01-02 22:00:00,8.4203,8.4265,8.4134,8.4248,2089,50,0
2014-01-02 23:00:00,8.4255,8.434,8.4252,8.4317,1533,58,0
2014-01-03 00:00:00,8.432,8.4341,8.4283,8.4301,1169,52,0
2014-01-03 01:00:00,8.4301,8.4342,8.4283,8.4306,1704,52,0
2014-01-03 02:00:00,8.4306,8.4312,8.423,8.4246,1969,55,0
2014-01-03 03:00:00,8.4254,8.4263,8.4214,8.4252,2025,50,0
2014-01-03 04:00:00,8.4252,8.4258,8.424,8.4246,1270,50,0
2014-01-03 05:00:00,8.4249,8.4254,8.4032,8.4159,1531,50,0
2014-01-03 06:00:00,8.4166,8.4176,8.3894,8.3922,1474,40,0
