time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,174.652,174.811,174.545,174.58,746,150,0
2014-01-01 22:00:00,174.341,174.653,174.321,174.65,3845,12,0
2014-01-01 23:00:00,174.65,174.844,174.545,174.589,4403,12,0
2014-01-02 00:00:00,174.589,174.635,174.442,174.592,4510,12,0
2014-01-02 01:00:00,174.592,174.66,174.512,174.645,4606,12,0
2014-01-02 02:00:00,174.646,174.665,174.496,174.505,3922,12,0
2014-01-02 03:00:00,174.505,174.657,174.503,174.625,3964,12,0
2014-01-02 04:00:00,174.63,174.663,174.581,174.655,4284,12,0
2014-01-02 05:00:00,174.655,174.841,174.637,174.807,4295,12,0
2014-01-02 06:00:00,174.815,174.818,174.682,174.752,4829,12,0
2014-01-02 07:00:00,174.752,174.754,174.524,174.645,3071,1,0
2014-01-02 08:00:00,174.647,174.662,174.426,174.602,3366,1,0
2014-01-02 09:00:00,174.602,174.72,174.309,174.316,3963,1,0
2014-01-02 10:00:00,174.316,174.491,174.245,174.445,3451,4,0
2014-01-02 11:00:00,174.444,174.483,174.161,174.168,3767,10,0
2014-01-02 12:00:00,174.169,174.185,173.573,173.617,4241,9,0
2014-01-02 13:00:00,173.621,173.647,173.193,173.236,4590,7,0
2014-01-02 14:00:00,173.237,173.257,172.215,172.231,5310,3,0
2014-01-02 15:00:00,172.251,172.639,172.048,172.609,5211,6,0
2014-01-02 16:00:00,172.612,172.72,172.272,172.343,3917,2,0
2014-01-02 17:00:00,172.343,172.423,172.173,172.384,2658,9,0
2014-01-02 18:00:00,172.383,172.393,171.972,172.018,2370,4,0
2014-01-02 19:00:00,172.018,172.099,171.827,171.941,2816,14,0
2014-01-02 20:00:00,171.942,172.217,171.942,172.215,2175,15,0
2014-01-02 21:00:00,172.219,172.447,172.105,172.372,1653,7,0
2014-01-02 22:00:00,172.372,172.396,172.243,172.378,901,12,0
2014-01-02 23:00:00,172.378,172.471,172.307,172.446,1156,11,0
2014-01-03 00:00:00,172.443,172.495,172.387,172.43,1469,8,0
2014-01-03 01:00:00,172.426,172.502,172.278,172.282,1752,7,0
2014-01-03 02:00:00,172.28,172.297,171.042,171.342,4317,3,0
2014-01-03 03:00:00,171.345,171.606,171.219,171.353,2573,3,0
2014-01-03 04:00:00,171.348,171.54,171.337,171.359,2023,3,0
2014-01-03 05:00:00,171.359,171.405,171.11,171.298,2955,5,0
2014-01-03 06:00:00,171.298,171.449,171.105,171.368,2176,7,0
2014-01-03 07:00:00,171.371,171.849,171.326,171.686,3255,6,0
2014-01-03 08:00:00,171.686,171.751,171.426,171.646,3921,7,0
2014-01-03 09:00:00,171.642,171.734,171.493,171.665,3407,6,0
2014-01-03 10:00:00,171.658,171.982,171.642,171.922,2882,6,0
2014-01-03 11:00:00,171.923,172.036,171.837,171.893,3352,4,0
2014-01-03 12:00:00,171.892,171.904,171.378,171.609,3935,6,0
2014-01-03 13:00:00,171.609,171.645,171.354,171.454,3751,7,0
