time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,0.81975,0.82228,0.81927,0.82037,325,80,0
2014-01-01 22:00:00,0.81918,0.82074,0.81877,0.82004,1428,14,0
2014-01-01 23:00:00,0.82004,0.82191,0.81917,0.82048,1316,14,0
2014-01-02 00:00:00,0.82048,0.82171,0.82006,0.82055,1801,14,0
2014-01-02 01:00:00,0.82055,0.82175,0.82005,0.82172,3034,14,0
2014-01-02 02:00:00,0.8217,0.82238,0.82056,0.82205,2611,14,0
2014-01-02 03:00:00,0.8221,0.82334,0.82175,0.82287,2461,14,0
2014-01-02 04:00:00,0.82287,0.82318,0.82161,0.82186,2349,14,0
2014-01-02 05:00:00,0.82181,0.82206,0.82145,0.82192,1018,14,0
2014-01-02 06:00:00,0.82192,0.82221,0.82142,0.82158,936,14,0
2014-01-02 07:00:00,0.82157,0.82168,0.81794,0.81812,1577,2,0
2014-01-02 08:00:00,0.81818,0.81956,0.81779,0.8192,1518,4,0
2014-01-02 09:00:00,0.8192,0.81952,0.81821,0.81851,1153,8,0
2014-01-02 10:00:00,0.81858,0.81907,0.81539,0.81628,1348,5,0
2014-01-02 11:00:00,0.81646,0.8165,0.81442,0.81518,1844,2,0
2014-01-02 12:00:00,0.81514,0.81518,0.81385,0.81494,1904,5,0
2014-01-02 13:00:00,0.81495,0.81662,0.81463,0.81646,2004,5,0
2014-01-02 14:00:00,0.81646,0.82009,0.81624,0.81985,3109,6,0
2014-01-02 15:00:00,0.81984,0.82296,0.81913,0.82129,3071,5,0
2014-01-02 16:00:00,0.82132,0.82153,0.81955,0.82009,1796,6,0
2014-01-02 17:00:00,0.82009,0.82019,0.81879,0.81905,848,9,0
2014-01-02 18:00:00,0.81905,0.82014,0.81851,0.81997,900,1,0
2014-01-02 19:00:00,0.81997,0.82,0.81736,0.81741,1211,5,0
2014-01-02 20:00:00,0.81741,0.81865,0.81741,0.81851,959,1,0
2014-01-02 21:00:00,0.81851,0.819,0.81788,0.81828,1408,8,0
2014-01-02 22:00:00,0.81828,0.81869,0.81735,0.8185,671,6,0
2014-01-02 23:00:00,0.8185,0.81893,0.81791,0.81842,960,9,0
2014-01-03 00:00:00,0.81843,0.82002,0.8182,0.81982,953,5,0
2014-01-03 01:00:00,0.81978,0.81983,0.81778,0.81871,1450,8,0
2014-01-03 02:00:00,0.81874,0.81999,0.81861,0.81963,1525,5,0
2014-01-03 03:00:00,0.81961,0.82366,0.81961,0.82183,1431,3,0
2014-01-03 04:00:00,0.82184,0.82405,0.82151,0.82397,1546,4,0
2014-01-03 05:00:00,0.82399,0.82576,0.82399,0.82446,1518,3,0
2014-01-03 06:00:00,0.82447,0.82453,0.82319,0.82411,1156,10,0
2014-01-03 07:00:00,0.82409,0.82589,0.82391,0.8251,1660,5,0
2014-01-03 08:00:00,0.82511,0.82634,0.82492,0.82551,1968,8,0
2014-01-03 09:00:00,0.82552,0.82826,0.82515,0.82735,1846,2,0
2014-01-03 10:00:00,0.8273,0.8281,0.82672,0.82691,1308,7,0
2014-01-03 11:00:00,0.82684,0.82818,0.82648,0.8278,1891,5,0
2014-01-03 12:00:00,0.82784,0.82966,0.82775,0.82926,1921,2,0
2014-01-03 13:00:00,0.82931,0.83034,0.82907,0.82942,2306,5,0
2014-01-03 14:00:00,0.82943,0.83067,0.82876,0.82933,2497,7,0
2014-01-03 15:00:00,0.82936,0.83166,0.82888,0.82974,2446,3,0
2014-01-03 16:00:00,0.82975,0.83002,0.82883,0.82938,1982,8,0
2014-01-03 17:00:00,0.82942,0.82996,0.82873,0.8294,1279,10,0
2014-01-03 18:00:00,0.82939,0.82983,0.82848,0.82924,1081,9,0
2014-01-03 19:00:00,0.82925,0.82975,0.82894,0.82931,1118,9,0
2014-01-03 20:00:00,0.82931,0.82931,0.82715,0.82718,1313,3,0
2014-01-03 21:00:00,0.82717,0.82751,0.82698,0.82708,895,12,0
2014-01-03 22:00:00,0.82708,0.82708,0.82708,0.82708,1,59,0
2014-01-05 00:00:00,0.82707,0.8275,0.82581,0.82631,2076,80,0
2014-01-05 23:00:00,0.82629,0.82719,0.82614,0.82646,1813,2,0
2014-01-06 00:00:00,0.82645,0.82751,0.82585,0.82701,1526,2,0
2014-01-06 01:00:00,0.827,0.82814,0.82582,0.82627,2093,3,0
2014-01-06 02:00:00,0.82625,0.82671,0.8252,0.8259,1870,3,0
2014-01-06 03:00:00,0.82587,0.826,0.82511,0.82561,1475,5,0
2014-01-06 04:00:00,0.82562,0.82619,0.825,0.82564,1136,8,0
2014-01-06 05:00:00,0.82565,0.82597,0.82511,0.82528,1048,9,0
2014-01-06 06:00:00,0.82529,0.82702,0.8251,0.82693,1144,6,0
2014-01-06 07:00:00,0.82696,0.82793,0.8259,0.82662,1656,5,0
2014-01-06 08:00:00,0.82662,0.82678,0.82568,0.82578,1601,4,0
2014-01-06 09:00:00,0.8258,0.82735,0.82534,0.82735,1627,6,0
2014-01-06 10:00:00,0.82734,0.82849,0.82702,0.82816,1277,9,0
2014-01-06 11:00:00,0.82815,0.82851,0.82733,0.82737,1261,9,0
2014-01-06 12:00:00,0.82738,0.82833,0.82645,0.82832,1328,9,0
2014-01-06 13:00:00,0.82831,0.82832,0.82724,0.82802,1719,2,0
2014-01-06 14:00:00,0.82802,0.82824,0.82669,0.82719,2314,6,0
2014-01-06 15:00:00,0.82739,0.82902,0.82681,0.82865,2729,3,0
2014-01-06 16:00:00,0.82867,0.82956,0.82788,0.8289,1919,4,0
2014-01-06 17:00:00,0.82888,0.83018,0.82845,0.82979,1757,6,0
2014-01-06 18:00:00,0.82979,0.8305,0.82945,0.83022,1292,4,0
2014-01-06 19:00:00,0.8302,0.83033,0.82853,0.82867,1335,10,0
2014-01-06 20:00:00,0.8287,0.8294,0.82853,0.8294,886,11,0
2014-01-06 21:00:00,0.82937,0.8294,0.82892,0.82896,1023,10,0
2014-01-06 22:00:00,0.82897,0.82974,0.8283,0.82879,776,5,0
2014-01-06 23:00:00,0.82879,0.82951,0.82801,0.82873,1317,2,0
2014-01-07 00:00:00,0.82873,0.82954,0.82581,0.82711,2326,4,0
2014-01-07 01:00:00,0.8271,0.82821,0.8267,0.82678,1715,8,0
2014-01-07 02:00:00,0.82678,0.8276,0.82645,0.82693,1448,11,0
2014-01-07 03:00:00,0.82693,0.82745,0.82586,0.82639,1854,7,0
2014-01-07 04:00:00,0.82641,0.82686,0.82569,0.82582,1731,9,0
2014-01-07 05:00:00,0.82582,0.82623,0.82535,0.82571,1854,9,0
2014-01-07 06:00:00,0.82564,0.82681,0.82548,0.82601,1345,3,0
2014-01-07 07:00:00,0.826,0.82715,0.82575,0.82657,1469,7,0
2014-01-07 08:00:00,0.82656,0.82773,0.82649,0.82693,1577,9,0
2014-01-07 09:00:00,0.82693,0.82825,0.8262,0.82812,1844,8,0
2014-01-07 10:00:00,0.82815,0.82923,0.82739,0.82892,1560,5,0
2014-01-07 11:00:00,0.82891,0.82976,0.82815,0.82861,1551,7,0
2014-01-07 12:00:00,0.82861,0.83025,0.8286,0.8293,1556,7,0
2014-01-07 13:00:00,0.82923,0.82943,0.82739,0.82785,2086,7,0
2014-01-07 14:00:00,0.82785,0.82886,0.82757,0.82854,2329,7,0
2014-01-07 15:00:00,0.82854,0.82854,0.82603,0.82779,3092,5,0
2014-01-07 16:00:00,0.82779,0.82907,0.82719,0.82871,1588,7,0
2014-01-07 17:00:00,0.82875,0.83013,0.82858,0.82869,1365,7,0
2014-01-07 18:00:00,0.82868,0.82877,0.82763,0.82791,1196,9,0
2014-01-07 19:00:00,0.82789,0.8288,0.82767,0.82878,1053,11,0
2014-01-07 20:00:00,0.8288,0.82885,0.82791,0.82817,1186,11,0
2014-01-07 21:00:00,0.82819,0.82913,0.82797,0.8282,1271,5,0
2014-01-07 22:00:00,0.82789,0.82844,0.82713,0.82788,782,1,0
2014-01-07 23:00:00,0.82776,0.82837,0.82755,0.82784,905,11,0
2014-01-08 00:00:00,0.82787,0.8279,0.8265,0.82756,1241,7,0
2014-01-08 01:00:00,0.82755,0.82836,0.82718,0.82813,1357,5,0
2014-01-08 02:00:00,0.8281,0.82924,0.8281,0.82916,1384,5,0
2014-01-08 03:00:00,0.82915,0.82916,0.82794,0.8288,1315,7,0
2014-01-08 04:00:00,0.82882,0.83004,0.82858,0.82919,1268,10,0
2014-01-08 05:00:00,0.8292,0.82931,0.82844,0.82884,1166,8,0
2014-01-08 06:00:00,0.82887,0.8297,0.82842,0.82859,1411,6,0
2014-01-08 07:00:00,0.82863,0.82891,0.8274,0.82744,1441,8,0
2014-01-08 08:00:00,0.82744,0.82782,0.82662,0.82739,1624,7,0
2014-01-08 09:00:00,0.82742,0.82804,0.82713,0.82742,1213,6,0
2014-01-08 10:00:00,0.82743,0.82865,0.82687,0.828,1861,7,0
2014-01-08 11:00:00,0.82798,0.82873,0.8276,0.82821,1230,10,0
2014-01-08 12:00:00,0.8282,0.8296,0.8282,0.82951,1442,10,0
2014-01-08 13:00:00,0.82952,0.83086,0.82763,0.83039,2652,1,0
2014-01-08 14:00:00,0.83039,0.83174,0.82965,0.83036,2487,8,0
2014-01-08 15:00:00,0.8304,0.83164,0.82907,0.82916,2665,4,0
2014-01-08 16:00:00,0.82915,0.82967,0.82708,0.82771,2214,6,0
2014-01-08 17:00:00,0.82769,0.82781,0.82718,0.82767,1401,6,0
2014-01-08 18:00:00,0.82766,0.82862,0.82734,0.82862,1290,3,0
2014-01-08 19:00:00,0.82862,0.82863,0.82507,0.82614,2725,3,0
2014-01-08 20:00:00,0.82621,0.82693,0.82585,0.82648,1019,8,0
2014-01-08 21:00:00,0.82647,0.82686,0.82577,0.82636,1059,7,0
2014-01-08 22:00:00,0.82627,0.82659,0.8254,0.82599,973,8,0
2014-01-08 23:00:00,0.82598,0.82658,0.82577,0.82601,1107,10,0
2014-01-09 00:00:00,0.82601,0.82671,0.82561,0.82615,1473,6,0
2014-01-09 01:00:00,0.82617,0.82653,0.82517,0.82575,1545,5,0
2014-01-09 02:00:00,0.82577,0.82579,0.82413,0.82496,1714,6,0
2014-01-09 03:00:00,0.82496,0.82571,0.82469,0.82566,1198,7,0
2014-01-09 04:00:00,0.82567,0.82581,0.82486,0.82558,1026,7,0
2014-01-09 05:00:00,0.8256,0.8256,0.82461,0.82505,975,7,0
2014-01-09 06:00:00,0.82507,0.82567,0.82461,0.82558,1201,5,0
2014-01-09 07:00:00,0.82557,0.82616,0.82522,0.8261,1329,6,0
2014-01-09 08:00:00,0.82611,0.82703,0.82605,0.82702,1605,3,0
2014-01-09 09:00:00,0.827,0.82723,0.82612,0.82634,1418,7,0
2014-01-09 10:00:00,0.82635,0.82645,0.82513,0.826,1612,7,0
2014-01-09 11:00:00,0.82601,0.82631,0.82527,0.82528,1401,7,0
2014-01-09 12:00:00,0.82525,0.82611,0.82494,0.82534,1484,6,0
2014-01-09 13:00:00,0.82534,0.82653,0.82481,0.82543,2744,2,0
2014-01-09 14:00:00,0.82542,0.82617,0.82511,0.82551,2288,6,0
2014-01-09 15:00:00,0.8255,0.82584,0.82444,0.82505,2356,6,0
2014-01-09 16:00:00,0.82505,0.8252,0.82431,0.82459,2027,6,0
2014-01-09 17:00:00,0.82456,0.82485,0.82409,0.82466,1322,10,0
2014-01-09 18:00:00,0.82466,0.82473,0.82371,0.82442,1108,5,0
2014-01-09 19:00:00,0.82441,0.82457,0.8231,0.82446,1021,2,0
2014-01-09 20:00:00,0.82445,0.82539,0.82377,0.82521,1442,2,0
2014-01-09 21:00:00,0.82523,0.82565,0.82492,0.82528,991,11,0
2014-01-09 22:00:00,0.82527,0.82576,0.82364,0.82375,1357,1,0
2014-01-09 23:00:00,0.82374,0.82462,0.82364,0.82438,873,8,0
2014-01-10 00:00:00,0.82437,0.82454,0.82326,0.82369,1136,5,0
2014-01-10 01:00:00,0.8237,0.82513,0.82307,0.82501,1670,5,0
2014-01-10 02:00:00,0.82502,0.82533,0.82432,0.825,1602,8,0
2014-01-10 03:00:00,0.82501,0.82518,0.82419,0.82477,871,8,0
2014-01-10 04:00:00,0.82476,0.82477,0.82361,0.82439,900,4,0
2014-01-10 05:00:00,0.82444,0.82444,0.8239,0.82433,687,5,0
2014-01-10 06:00:00,0.82432,0.82471,0.82372,0.82396,1034,5,0
2014-01-10 07:00:00,0.82397,0.82429,0.82315,0.82386,1035,9,0
