time,open,high,low,close,tick_volume,spread,real_volume
2014-01-01 00:00:00,6.0621,6.0673,6.0591,6.0661,397,0,0
2014-01-02 00:00:00,6.0668,6.1728,6.0615,6.1695,26882,0,0
2014-01-02 08:00:00,6.0798,6.1038,6.0772,6.1019,5076,39,0
2014-01-02 09:00:00,6.102,6.1159,6.094,6.1068,5658,39,0
2014-01-02 10:00:00,6.1068,6.1267,6.0961,6.1235,5225,39,0
2014-01-02 11:00:00,6.1236,6.1371,6.1198,6.135,4067,39,0
2014-01-02 12:00:00,6.1345,6.1415,6.1313,6.1344,4873,39,0
2014-01-02 13:00:00,6.1345,6.1631,6.1345,6.1594,5314,39,0
2014-01-02 14:00:00,6.1595,6.1614,6.1448,6.1487,5349,39,0
2014-01-02 15:00:00,6.1484,6.1546,6.1434,6.1458,4930,39,0
2014-01-02 16:00:00,6.1464,6.1538,6.1282,6.1295,5856,39,0
2014-01-02 17:00:00,6.1303,6.1486,6.1288,6.147,4928,39,0
2014-01-02 18:00:00,6.1469,6.1655,6.1446,6.1575,3761,39,0
2014-01-02 19:00:00,6.1575,6.1629,6.1534,6.1628,3293,39,0
2014-01-02 20:00:00,6.1615,6.1718,6.1579,6.1718,3020,65,0
2014-01-02 21:00:00,6.1719,6.1719,6.1574,6.1616,2848,70,0
2014-01-02 22:00:00,6.1614,6.165,6.1558,6.1622,2857,70,0
2014-01-02 23:00:00,6.1621,6.1729,6.1618,6.1703,2053,70,0
2014-01-03 00:00:00,6.1703,6.1713000000000005,6.1671,6.1677,1768,70,0
2014-01-03 01:00:00,6.1677,6.1706,6.1655,6.1704,2208,70,0
2014-01-03 02:00:00,6.1704,6.1732,6.1667,6.1696,2496,70,0
2014-01-03 03:00:00,6.1695,6.1712,6.1635,6.1684,2782,70,0
2014-01-03 04:00:00,6.1684,6.1687,6.1635,6.1668,2151,70,0
2014-01-03 05:00:00,6.1668,6.1673,6.1505,6.1581,2141,70,0
2014-01-03 06:00:00,6.1583,6.1647,6.1472,6.1477,2690,40,0
2014-01-03 07:00:00,6.155,6.1629,6.1522,6.1577,2209,48,0
2014-01-03 08:00:00,6.1573,6.1693999999999996,6.1557,6.1598,4572,39,0
2014-01-03 09:00:00,6.1596,6.1609,6.1383,6.1448,4623,39,0
2014-01-03 10:00:00,6.1447,6.1547,6.1422,6.1478,4811,39,0
2014-01-03 11:00:00,6.1479,6.1564,6.1411,6.1563,3888,39,0
2014-01-03 12:00:00,6.1564,6.1567,6.1432,6.1468,4110,39,0
2014-01-03 13:00:00,6.1468,6.1476,6.1244,6.1286,3994,39,0
2014-01-03 14:00:00,6.1286,6.1326,6.1142,6.1155,4546,39,0
2014-01-03 15:00:00,6.1155,6.1336,6.1155,6.1271,5058,39,0
2014-01-03 16:00:00,6.127,6.1392,6.1237,6.1304,4706,39,0
2014-01-03 17:00:00,6.1304,6.1425,6.1301,6.1414,3838,39,0
2014-01-03 18:00:00,6.1416,6.1461,6.1379,6.1409,3875,39,0
2014-01-03 19:00:00,6.1409,6.147,6.1405,6.1421,2991,39,0
2014-01-03 20:00:00,6.141,6.1458,6.1348,6.1436,2498,65,0
2014-01-03 21:00:00,6.1436,6.1536,6.1436,6.1515,3282,70,0
2014-01-03 22:00:00,6.1515,6.1544,6.1381,6.1472999999999995,2845,70,0
2014-01-05 00:00:00,6.1489,6.1526,6.1466,6.1496,603,0,0
2014-01-05 23:00:00,6.1487,6.15,6.1457,6.1462,1897,73,0
2014-01-06 00:00:00,6.1461,6.1516,6.1461,6.1483,2334,70,0
2014-01-06 01:00:00,6.1483,6.152,6.1472,6.1485,3073,70,0
2014-01-06 02:00:00,6.1484,6.1576,6.1481,6.1558,3077,70,0
2014-01-06 03:00:00,6.1558,6.161,6.1535,6.1577,2602,70,0
2014-01-06 04:00:00,6.1579,6.161,6.1546,6.1594,2010,70,0
2014-01-06 05:00:00,6.1595,6.163,6.1544,6.1577,1857,70,0
2014-01-06 06:00:00,6.1587,6.1614,6.1531,6.1583,1760,46,0
2014-01-06 07:00:00,6.1582,6.1642,6.1541,6.1549,3100,39,0
2014-01-06 08:00:00,6.1555,6.1793,6.1469,6.1651,4376,39,0
2014-01-06 09:00:00,6.1739,6.1816,6.1584,6.1776,5138,39,0
2014-01-06 10:00:00,6.1776,6.1847,6.1706,6.1795,4627,39,0
2014-01-06 11:00:00,6.1795,6.1816,6.1706,6.1782,3852,39,0
2014-01-06 12:00:00,6.1782,6.1854,6.1716,6.1846,3461,39,0
2014-01-06 13:00:00,6.1846,6.1861,6.1775,6.18,3257,39,0
2014-01-06 14:00:00,6.1801,6.1829,6.1636,6.1704,4492,39,0
2014-01-06 15:00:00,6.1704,6.1739,6.161,6.1702,4478,39,0
2014-01-06 16:00:00,6.1701,6.1759,6.1594,6.1627,5517,39,0
2014-01-06 17:00:00,6.163,6.1744,6.1612,6.1722,3900,39,0
2014-01-06 18:00:00,6.1722,6.1752,6.1678,6.1702,3821,39,0
2014-01-06 19:00:00,6.1706,6.1707,6.1642,6.1677,2792,39,0
2014-01-06 20:00:00,6.1676,6.173,6.1657,6.1663,2086,45,0
2014-01-06 21:00:00,6.1651,6.167,6.1631,6.164,2600,70,0
2014-01-06 22:00:00,6.164,6.1683,6.1626,6.1658,2270,70,0
2014-01-06 23:00:00,6.1658,6.1721,6.1618,6.1628,2455,70,0
2014-01-07 00:00:00,6.1627,6.1665,6.1627,6.1656,2383,70,0
2014-01-07 01:00:00,6.1656,6.1699,6.1641,6.1687,2503,70,0
2014-01-07 02:00:00,6.1687,6.1696,6.1669,6.1682,2126,70,0
2014-01-07 03:00:00,6.1682,6.1682,6.1651,6.1669,1970,70,0
2014-01-07 04:00:00,6.1669,6.1697,6.1652000000000005,6.1679,1940,70,0
2014-01-07 05:00:00,6.1679,6.169,6.1673,6.1687,1461,70,0
2014-01-07 06:00:00,6.169,6.1716,6.1684,6.1712,2551,40,0
2014-01-07 07:00:00,6.1712,6.1794,6.1693999999999996,6.1774000000000004,2920,40,0
2014-01-07 08:00:00,6.1774000000000004,6.1838,6.1732,6.18,3693,39,0
2014-01-07 09:00:00,6.1801,6.1825,6.1709,6.1734,3872,39,0
2014-01-07 10:00:00,6.1736,6.1744,6.1566,6.1608,4104,39,0
2014-01-07 11:00:00,6.1609,6.1633,6.1503,6.1533,3873,39,0
2014-01-07 12:00:00,6.1534,6.1559,6.1491,6.1552,3199,39,0
2014-01-07 13:00:00,6.1552,6.1552,6.1461,6.1515,3552,39,0
2014-01-07 14:00:00,6.1515,6.1565,6.1422,6.1539,4235,39,0
2014-01-07 15:00:00,6.1539,6.1671,6.1518,6.1645,4211,39,0
2014-01-07 16:00:00,6.1645,6.1746,6.1626,6.1638,4887,39,0
2014-01-07 17:00:00,6.1641,6.1677,6.1535,6.1641,4444,39,0
2014-01-07 18:00:00,6.1642,6.1664,6.1535,6.1656,3757,39,0
2014-01-07 19:00:00,6.1656,6.1773,6.163,6.1729,3361,39,0
2014-01-07 20:00:00,6.1722,6.1761,6.1646,6.1662,2383,65,0
2014-01-07 21:00:00,6.1662,6.1672,6.1631,6.1633,1797,70,0
2014-01-07 22:00:00,6.1634,6.1713000000000005,6.163,6.1653,3180,70,0
2014-01-07 23:00:00,6.1653,6.1717,6.1639,6.1674,2330,70,0
2014-01-08 00:00:00,6.1677,6.169,6.1646,6.1649,2117,70,0
2014-01-08 01:00:00,6.1649,6.1725,6.1649,6.1679,2345,70,0
2014-01-08 02:00:00,6.1679,6.1695,6.1568,6.1596,2927,70,0
2014-01-08 03:00:00,6.1596,6.1596,6.1578,6.1581,1744,70,0
2014-01-08 04:00:00,6.158,6.1615,6.158,6.1606,2022,70,0
2014-01-08 05:00:00,6.1607,6.1609,6.1563,6.1566,2167,70,0
2014-01-08 06:00:00,6.1571,6.1603,6.1557,6.1589,2870,40,0
2014-01-08 07:00:00,6.1589,6.1659,6.1568,6.1598,3075,39,0
2014-01-08 08:00:00,6.1605,6.1747,6.1601,6.1702,3332,39,0
2014-01-08 09:00:00,6.1702,6.1885,6.1702,6.1829,4312,39,0
2014-01-08 10:00:00,6.1829,6.2028,6.182,6.1972,4330,39,0
2014-01-08 11:00:00,6.1972,6.2032,6.1908,6.2003,4344,39,0
2014-01-08 12:00:00,6.2006,6.2044,6.1962,6.1963,3234,39,0
2014-01-08 13:00:00,6.1963,6.1983,6.1861,6.1924,3606,39,0
2014-01-08 14:00:00,6.1924,6.2099,6.1843,6.2005,4984,39,0
2014-01-08 15:00:00,6.2006,6.2075,6.1874,6.1878,4743,39,0
2014-01-08 16:00:00,6.1877,6.1952,6.1833,6.1879,5023,39,0
2014-01-08 17:00:00,6.1883,6.2064,6.1856,6.1974,4685,39,0
2014-01-08 18:00:00,6.1974,6.2113,6.197,6.2029,3575,39,0
2014-01-08 19:00:00,6.2029,6.2138,6.2006,6.2071,3405,39,0
2014-01-08 20:00:00,6.2069,6.2172,6.198,6.2007,4057,70,0
2014-01-08 21:00:00,6.2005,6.2052,6.194,6.1954,3460,70,0
2014-01-08 22:00:00,6.1954,6.2008,6.1946,6.1988,2197,70,0
2014-01-08 23:00:00,6.1989,6.204,6.1972,6.1998,1989,70,0
2014-01-09 00:00:00,6.2002,6.2034,6.1991,6.202,2084,70,0
2014-01-09 01:00:00,6.202,6.204,6.1975999999999996,6.1988,2718,70,0
2014-01-09 02:00:00,6.1989,6.2026,6.1956,6.2007,2648,70,0
2014-01-09 03:00:00,6.2007,6.2032,6.1987,6.199,2054,70,0
2014-01-09 04:00:00,6.199,6.1999,6.1967,6.1989,2091,70,0
2014-01-09 05:00:00,6.1989,6.2001,6.1953,6.1955,1826,70,0
2014-01-09 06:00:00,6.1958,6.1978,6.1908,6.1918,2748,40,0
2014-01-09 07:00:00,6.1917,6.1999,6.1888,6.1973,3135,40,0
2014-01-09 08:00:00,6.1975,6.1985,6.1892,6.1933,3451,39,0
2014-01-09 09:00:00,6.1936,6.2081,6.1863,6.1882,4442,39,0
2014-01-09 10:00:00,6.1881,6.1903,6.1754,6.1846,4100,39,0
2014-01-09 11:00:00,6.1846,6.1975999999999996,6.1837,6.188,4089,39,0
2014-01-09 12:00:00,6.1881,6.1936,6.1864,6.1911,2994,39,0
2014-01-09 13:00:00,6.1912,6.192,6.1766,6.1776,3900,39,0
2014-01-09 14:00:00,6.1776,6.2045,6.1714,6.1985,6249,39,0
2014-01-09 15:00:00,6.1986,6.2118,6.1946,6.2007,5751,39,0
2014-01-09 16:00:00,6.2007,6.2021,6.186,6.2004,4824,39,0
2014-01-09 17:00:00,6.2003,6.2008,6.1878,6.19,4015,39,0
2014-01-09 18:00:00,6.1896,6.191,6.1808,6.1847,2995,39,0
2014-01-09 19:00:00,6.1848,6.1873,6.1829,6.1867,2322,39,0
2014-01-09 20:00:00,6.1854,6.1865,6.1803,6.1808,2044,65,0
2014-01-09 21:00:00,6.1808,6.1821,6.1706,6.1729,2548,70,0
2014-01-09 22:00:00,6.173,6.1747,6.1698,6.172,2716,70,0
2014-01-09 23:00:00,6.1721,6.1776,6.1714,6.1757,2118,70,0
2014-01-10 00:00:00,6.1757,6.1771,6.173,6.1748,1893,70,0
2014-01-10 01:00:00,6.1749,6.1776,6.1734,6.1745,2240,70,0
2014-01-10 02:00:00,6.1745,6.1752,6.1693,6.1709,2337,70,0
2014-01-10 03:00:00,6.171,6.1727,6.1662,6.1667,2239,70,0
2014-01-10 04:00:00,6.1669,6.1695,6.1648,6.1658,1774,70,0
2014-01-10 05:00:00,6.1657,6.1667,6.1626,6.1633,2142,70,0
2014-01-10 06:00:00,6.1637,6.1668,6.1637,6.1643,2208,43,0
2014-01-10 07:00:00,6.1644,6.168,6.1622,6.1676,2540,39,0
2014-01-10 08:00:00,6.1677,6.1684,6.1608,6.1613,3110,39,0
2014-01-10 09:00:00,6.1615,6.165,6.1494,6.153,4455,39,0
2014-01-10 10:00:00,6.1537,6.194,6.1537,6.181,3983,39,0
2014-01-10 11:00:00,6.181,6.1925,6.1771,6.1925,3468,39,0
2014-01-10 12:00:00,6.1929,6.1933,6.1783,6.1793,3429,39,0
2014-01-10 13:00:00,6.1792,6.1828,6.1778,6.182,2888,39,0
2014-01-10 14:00:00,6.182,6.1897,6.149,6.1626,6389,39,0
2014-01-10 15:00:00,6.1629,6.1722,6.1475,6.1504,6044,39,0
2014-01-10 16:00:00,6.1504,6.1597,6.1406,6.1582,5750,39,0
2014-01-10 17:00:00,6.1582,6.1602,6.1501,6.1588,4285,39,0
2014-01-10 18:00:00,6.1585,6.1612,6.1517,6.1526,3155,39,0
2014-01-10 19:00:00,6.1525,6.1576,6.151,6.1534,3333,39,0
2014-01-10 20:00:00,6.1526,6.1564,6.1451,6.1531,2796,65,0
2014-01-10 21:00:00,6.1529,6.1538,6.1442,6.1486,3004,70,0
2014-01-10 22:00:00,6.1486,6.15,6.1256,6.136,2764,70,0
2014-01-12 00:00:00,6.1381,6.1472,6.1372,6.1445,1420,0,0
2014-01-12 23:00:00,6.1373,6.1472999999999995,6.1348,6.1404,1594,73,0
2014-01-13 00:00:00,6.1404,6.1462,6.1397,6.1434,2536,70,0
2014-01-13 01:00:00,6.1434,6.1531,6.1425,6.1471,2121,70,0
2014-01-13 02:00:00,6.147,6.148,6.1384,6.1413,2947,70,0
2014-01-13 03:00:00,6.1413,6.1413,6.1346,6.1371,3129,70,0
2014-01-13 04:00:00,6.1372,6.1382,6.1346,6.1357,1862,70,0
2014-01-13 05:00:00,6.1354,6.1379,6.1352,6.1374,2420,70,0
2014-01-13 06:00:00,6.1378,6.1394,6.1358,6.1386,2158,40,0
2014-01-13 07:00:00,6.1386,6.1475,6.1378,6.1433,3117,40,0
2014-01-13 08:00:00,6.1432,6.1489,6.1416,6.1486,3077,39,0
2014-01-13 09:00:00,6.1487,6.1493,6.1373,6.1385,4148,39,0
2014-01-13 10:00:00,6.1385,6.141,6.1281,6.1289,3728,39,0
2014-01-13 11:00:00,6.1289,6.1298,6.1183,6.1214,3308,39,0
2014-01-13 12:00:00,6.1214,6.1227,6.1152,6.1179,3488,39,0
2014-01-13 13:00:00,6.1178,6.1219,6.1126,6.1171,3700,39,0
2014-01-13 14:00:00,6.1171,6.1293,6.1156,6.1249,4758,11,0
2014-01-13 15:00:00,6.125,6.1254,6.119,6.122,4969,39,0
2014-01-13 16:00:00,6.122,6.1274,6.1185,6.119,4265,39,0
2014-01-13 17:00:00,6.1191,6.1228,6.1168,6.121,3152,39,0
2014-01-13 18:00:00,6.121,6.1237,6.1177,6.122,3468,39,0
2014-01-13 19:00:00,6.122,6.1294,6.1174,6.1186,3469,39,0
2014-01-13 20:00:00,6.1184,6.1218,6.1143,6.1158,2877,63,0
2014-01-13 21:00:00,6.1158,6.1217,6.1144,6.1153,2583,70,0
2014-01-13 22:00:00,6.1154,6.1189,6.1137,6.1144,2210,70,0
2014-01-13 23:00:00,6.1144,6.1159,6.1126,6.1137,2063,70,0
2014-01-14 00:00:00,6.1136,6.1163,6.1122,6.1151,2059,70,0
2014-01-14 01:00:00,6.115,6.1226,6.115,6.1165,2742,70,0
2014-01-14 02:00:00,6.1164,6.1231,6.116,6.1229,2216,70,0
2014-01-14 03:00:00,6.1229,6.1229,6.1191,6.1191,1802,70,0
2014-01-14 04:00:00,6.1191,6.12,6.1177,6.1198,2035,70,0
2014-01-14 05:00:00,6.1197,6.1216,6.1182,6.1184,2080,70,0
2014-01-14 06:00:00,6.1184,6.1205,6.117,6.12,2646,40,0
2014-01-14 07:00:00,6.1202,6.1243,6.1175,6.1193,2441,39,0
2014-01-14 08:00:00,6.1193,6.1350999999999996,6.1186,6.1268,3766,39,0
2014-01-14 09:00:00,6.1267,6.1291,6.1047,6.1111,4944,39,0
2014-01-14 10:00:00,6.1111,6.1197,6.1095,6.1178,4584,39,0
2014-01-14 11:00:00,6.1178,6.1183,6.1062,6.1093,3881,39,0
2014-01-14 12:00:00,6.1094,6.1101,6.0998,6.1056,3484,39,0
2014-01-14 13:00:00,6.1054,6.1061,6.0957,6.0977,3412,39,0
2014-01-14 14:00:00,6.0978,6.1023,6.0918,6.1004,4212,39,0
2014-01-14 15:00:00,6.1002,6.1038,6.0947,6.1031,4896,39,0
2014-01-14 16:00:00,6.1031,6.1035,6.0811,6.0817,4475,39,0
2014-01-14 17:00:00,6.0816,6.0904,6.0795,6.0824,4372,39,0
2014-01-14 18:00:00,6.0825,6.0838,6.0782,6.0795,3415,39,0
2014-01-14 19:00:00,6.0793,6.0843,6.0772,6.0827,2763,39,0
2014-01-14 20:00:00,6.082,6.0825,6.0777,6.0813,2126,65,0
2014-01-14 21:00:00,6.0813,6.0854,6.0773,6.0785,2387,70,0
2014-01-14 22:00:00,6.0785,6.081,6.0768,6.0784,2038,70,0
2014-01-14 23:00:00,6.0785,6.0819,6.0764,6.0809,2416,70,0
2014-01-15 00:00:00,6.0809,6.0849,6.0795,6.0834,2264,70,0
2014-01-15 01:00:00,6.0834,6.0834,6.0811,6.0816,2309,70,0
2014-01-15 02:00:00,6.0817,6.0974,6.0808,6.0955,3605,70,0
2014-01-15 03:00:00,6.0956,6.0974,6.0918,6.0937,2407,70,0
2014-01-15 04:00:00,6.0937,6.1009,6.0937,6.0961,2177,70,0
2014-01-15 05:00:00,6.0961,6.0982,6.0957,6.0973,1814,70,0
2014-01-15 06:00:00,6.0984,6.0994,6.0938,6.0958,2415,40,0
2014-01-15 07:00:00,6.0958,6.1034,6.0936,6.1028,2715,39,0
2014-01-15 08:00:00,6.1028,6.1143,6.0986,6.1009,3283,39,0
2014-01-15 09:00:00,6.1013,6.1102,6.1012,6.1088,4242,39,0
2014-01-15 10:00:00,6.1088,6.119,6.1066,6.1073,3960,39,0
2014-01-15 11:00:00,6.1073,6.1081,6.0957,6.1018,3396,39,0
